variation,column,true_count,false_count,true_percentage,false_percentage
Without Ignore Morality,violence/graphic,5.0,13645.0,0.03663003663003663,99.96336996336996
Without Ignore Morality,illicit,3521.0,10129.0,25.794871794871792,74.2051282051282
Without Ignore Morality,illicit/violent,598.0,13052.0,4.380952380952381,95.61904761904762
Without Malicious,flagged,2144.0,11506.0,15.706959706959708,84.29304029304029
Without Malicious,harassment,54.0,13596.0,0.3956043956043956,99.6043956043956
Without Malicious,harassment/threatening,0.0,13650.0,0.0,100.0
Without Malicious,hate,11.0,13639.0,0.08058608058608059,99.91941391941393
Without Malicious,hate/threatening,0.0,13650.0,0.0,100.0
Without Malicious,self-harm,21.0,13629.0,0.15384615384615385,99.84615384615385
Without Malicious,self-harm/intent,20.0,13630.0,0.14652014652014653,99.85347985347985
Without Malicious,self-harm/instructions,12.0,13638.0,0.0879120879120879,99.91208791208791
Without Malicious,sexual,15.0,13635.0,0.10989010989010989,99.8901098901099
Without Malicious,violence,207.0,13443.0,1.5164835164835164,98.48351648351648
Without Malicious,violence/graphic,1.0,13649.0,0.007326007326007326,99.992673992674
Without Malicious,illicit,2006.0,11644.0,14.695970695970695,85.3040293040293
Without Malicious,illicit/violent,326.0,13324.0,2.3882783882783882,97.61172161172162
Without General Instructions,flagged,3698.0,9952.0,27.091575091575095,72.9084249084249
Without General Instructions,harassment,191.0,13459.0,1.3992673992673992,98.6007326007326
Without General Instructions,harassment/threatening,11.0,13639.0,0.08058608058608059,99.91941391941393
Without General Instructions,hate,35.0,13615.0,0.2564102564102564,99.74358974358975
Without General Instructions,hate/threatening,2.0,13648.0,0.014652014652014652,99.98534798534799
Without General Instructions,self-harm,66.0,13584.0,0.4835164835164835,99.51648351648352
Without General Instructions,self-harm/intent,58.0,13592.0,0.4249084249084249,99.57509157509158
Without General Instructions,self-harm/instructions,31.0,13619.0,0.2271062271062271,99.77289377289378
Without General Instructions,sexual,12.0,13638.0,0.0879120879120879,99.91208791208791
Without General Instructions,violence,387.0,13263.0,2.8351648351648353,97.16483516483517
Without General Instructions,violence/graphic,0.0,13650.0,0.0,100.0
Without General Instructions,illicit,3374.0,10276.0,24.71794871794872,75.28205128205127
Without General Instructions,illicit/violent,501.0,13149.0,3.67032967032967,96.32967032967032
Without Specific Instructions,flagged,5096.0,8554.0,37.333333333333336,62.66666666666667
Without Specific Instructions,harassment,838.0,12812.0,6.13919413919414,93.86080586080587
Without Specific Instructions,harassment/threatening,22.0,13628.0,0.16117216117216118,99.83882783882784
Without Specific Instructions,hate,71.0,13579.0,0.5201465201465202,99.47985347985347
Without Specific Instructions,hate/threatening,1.0,13649.0,0.007326007326007326,99.992673992674
Without Specific Instructions,self-harm,87.0,13563.0,0.6373626373626374,99.36263736263736
Without Specific Instructions,self-harm/intent,65.0,13585.0,0.4761904761904762,99.52380952380952
Without Specific Instructions,self-harm/instructions,36.0,13614.0,0.26373626373626374,99.73626373626374
Without Specific Instructions,sexual,48.0,13602.0,0.3516483516483516,99.64835164835165
Without Specific Instructions,violence,592.0,13058.0,4.336996336996337,95.66300366300366
Without Specific Instructions,violence/graphic,10.0,13640.0,0.07326007326007326,99.92673992673993
Without Specific Instructions,illicit,4223.0,9427.0,30.937728937728938,69.06227106227107
Without Specific Instructions,illicit/violent,609.0,13041.0,4.461538461538462,95.53846153846153
Without Not Malicious,flagged,5212.0,8438.0,38.18315018315018,61.81684981684982
Without Not Malicious,harassment,1658.0,11992.0,12.146520146520148,87.85347985347985
Without Not Malicious,harassment/threatening,29.0,13621.0,0.21245421245421245,99.78754578754578
