prompt,column,true_count,false_count,true_percentage,false_percentage
OPPO,flagged,7361.0,8239.0,47.18589743589743,52.81410256410256
OPPO,harassment,1514.0,14086.0,9.705128205128204,90.2948717948718
OPPO,harassment/threatening,61.0,15539.0,0.391025641025641,99.60897435897435
OPPO,hate,174.0,15426.0,1.1153846153846154,98.88461538461539
OPPO,hate/threatening,7.0,15593.0,0.04487179487179487,99.9551282051282
OPPO,self-harm,199.0,15401.0,1.2756410256410258,98.72435897435898
OPPO,self-harm/intent,151.0,15449.0,0.967948717948718,99.03205128205128
OPPO,self-harm/instructions,106.0,15494.0,0.6794871794871795,99.32051282051282
OPPO,sexual,31.0,15569.0,0.19871794871794873,99.80128205128204
OPPO,violence,888.0,14712.0,5.6923076923076925,94.3076923076923
OPPO,violence/graphic,11.0,15589.0,0.07051282051282051,99.92948717948718
